시대,문제ID,선택지1,선택지2,선택지3,선택지4,답
고조선,1,씨족이나 부족을 단위로 마을을 형성하였다.,벼농사가 시작되었다.,"돌낫, 돌보습 등 돌로 만든 농기구로 농사를 지었다. ",마을을 짓는 위치는 강가나 바닷가였다.,2
고조선,2,연천 전곡리 - 주먹도끼,공주 석장리 - 슴베 찌르개,서울 암사동- 주먹도끼,평양 상원 - 갈돌과 갈판,1
고조선,3,o,x,,,1
고조선,4,고조선,신석기 시대,구석기 시대,청동기 시대,2
고조선,5,강가나 바닷가에 움집을 지었다.,가락바퀴를 통해 옷을 만들어 입었다.,"동굴, 막집 등에서 무리 지어 살았다.",벼농사를 지었다.,3
고조선,6,(라) - (나) - (다) - (가),(나) - (다) - (가) - (라),(가) - (다) - (나) - (라),(다) - (가) - (나) - (라),4
고조선,7,청동기 시대에는 잉여 생산물이 발생하며 토지와 생산물에 대한 사유 개념이 생겨났다.,신석기 시대에는 씨족이나 부족을 단위로 마을을 이루었다.,사후 세계에 대한 믿음은 삼국시대에 들어서야 생겨났다.,"구석기 시대에는 추위와 비바람을 피해 동굴이나 막집, 바위 그늘에 살았다. ",3
고조선,8,o,x,,,2
고조선,9,진번과 임둔을 복속하여 세력을 확장하였다.,연의 장수 진개의 공격을 받아 영토를 빼앗겼다.,건원이라는 독자적인 연호를 제정했다.,화랑도를 국가 조직으로 개편하였다.,1
고조선,10,널리 인간을 이롭게 한다는 홍익인간의 이념을 제시하고 있음을 알 수 있다.,"환웅이 거느린 풍백, 우사, 운사는 사람의 노동력을 중요하게 여겼음을 알 수 있다.",하늘의 자손임을 내세우는 지배자가 나타났다.,곰 토템 신앙을 가진 부족과 호랑이 토템 신앙을 가진 부족이 통합되었음을 알 수 있다.,2
고조선,11,백성에게 금하는 8조법이 있었다.,(나) 나라의 왕 중 사비로 천도한 왕이 있다.,9서당 10정의 군사 조직을 갖추었다.,철이 많이 생산되어 낙랑과 왜 등에 수출하였다.,1
고조선,12,"A, C","B, E","A, C, D",E,3
고조선,13,갈돌과 갈판,미송리식 토기,세형 동검,슴베 찌르개,4
고조선,14,민며느리제라는 결혼 풍습이 존재했다.,노비가 존재하는 신분제 사회였다.,"신지, 읍차 등의 지배자가 있었다.",금관 가야를 복속하여 영토를 확대한 적이 있다.,2
고조선,15,왕 아래에 가축의 이름을 딴 관리가 있었다.,10월에 동맹이라는 제천 행사를 열었다.,진한의 소국 중 하나였던 사로국에서 출발하였다.,솔빈부의 말이 특산물로 거래되었다.,1
고조선,16,삼한 - 고구려,부여- 옥저,옥저-고구려,가야-동예,3
고조선,17,o,x,,,2
고조선,18,"부여는 말, 주옥, 모피를 수출하며 경제적으로 비교적 풍요로웠다.",옥저는 소를 죽여 그 굽으로 점을 쳤다.,동예는 명주와 삼베를 짜는 방직 기술이 발달하였다.,삼한 중에는 마한의 세력이 가장 컸다.,2
고조선,19,위만이 준왕을 몰아내고 스스로 왕이 되었다.,김흠돌의 난이 발생하였다.,별무반을 창설하여 군사력을 강화하였다.,"마한, 진한, 변한이 등장하였다.",4
고조선,20,o,x,,,1
고조선,21,1번,2번,3번,4번,4
고조선,22,1번,2번,3번,4번,2
고조선,23,쑹화강 유역의 평야 지대를 중심으로 성장하였다.,5부 연맹을 토대로 발전하였다.,건국 시조인 주몽과 그 어머니인 유화부인을 조상신으로 섬겼다.,제사장인 천군과 신성 지역인 소도가 있었다.,4
고조선,24,철기 문화에 기반을 둔 농경 사회였다.,"특산물로 단궁, 과하마, 반어피 등이 유명했다.",가족 공동 무덤이 있었다.,왕이 죽으면 껴묻거리와 함께 사람들을 순장했다.,1
고조선,25,철기 시대,고조선,청동기 시대,신석기 시대,3
고조선,26,"c, e","b, c, e","a, b, d","a, e",1
고조선,27,1번,2번,3번,4번,2
고조선,28,중국의 한과 남방의 진 사이에서 중계 무역으로 이익을 얻었다.,남성 중심의 가부장적 가족제도가 성립했다.,"상, 대부, 장군 등의 관직이 존재했다.",상수리 제도를 실시하여 지방 세력을 견제하였다.,4
고조선,29,계급이 없는 평등한 공동체 생활을 하였다.,의례 도구로 청동 거울과 청동 방울 등을 제작하였다.,주로 동굴이나 강가의 막집에서 살았다.,실을 뽑기 위해 가락바퀴를 처음 사용하였다.,2
고조선,30,o,x,,,2
삼국시대,1,영락이라는 연호를 사용했다.,적극적으로 남진 정책을 실시하여 수도를 평양으로 천도하였다.,신라를 도와 왜군을 물리쳤다.,후연과 거란을 격파하고 동부여를 병합하였다.,2
삼국시대,2,고국천왕-진대법을 시행하여 빈민을 구제하고자 노력하였다.,태조왕- 계루부를 중심으로 5부를 연합하여 고대 국가의 기틀을 확립하였다.,소수림왕-불교를 받아들여 중앙 집권 체제를 뒷받침하게 하였다.,미천왕-서안평을 점령하고 낙랑군과 대방군을 몰아냈다.,3
삼국시대,3,광개토 대왕,고이왕,성왕,고국천왕,1
삼국시대,4,태조왕,근초고왕,소수림왕,고이왕,4
삼국시대,5,지증왕,동성왕,태조왕,법흥왕,3
삼국시대,6,ㄱ-ㄴ-ㄹ-ㄷ,ㄹ-ㄷ-ㄴ-ㄱ,ㄷ-ㄱ-ㄴ-ㄹ,ㄱ-ㄷ-ㄹ-ㄴ,4
삼국시대,7,"B, D","C, D",A,B,1
삼국시대,8,구야국,사로국,동진,금관가야,2
삼국시대,9,o,x,,,1
삼국시대,10,발해가 건국되었다.,최승로가 시무 28조를 주창하였다.,대가야를 중심으로 후기 가야 연맹이 형성되었다.,"망이, 망소이의 봉기가 일어났다.",3
삼국시대,11,근초고왕,소수림왕,침류왕,법흥왕,1
삼국시대,12,고구려 - 백제 - 신라,신라 - 백제 - 고구려,신라 - 고구려 - 백제,백제 - 고구려 - 신라,4
삼국시대,13,신라와 협공하여 한강 하류를 되찾았다.,한강 유역을 빼앗기고 웅진으로 천도하였다.,백제가 대가야를 정복했다.,도교와 노장사상이 널리 퍼졌다.,2
삼국시대,14,성왕,동성왕,침류왕,진흥왕,1
삼국시대,15,불교를 공인하고 율령을 반포하였다.,병부 및 상대등 제도를 새로 설치하였다.,건원이라는 연호를 사용했다.,22담로에 왕족을 파견하였다.,4
삼국시대,16,근초고왕,무령왕,성왕,개로왕,2
삼국시대,17,위례성-사비-웅진,사비-위례성-웅진,위례성-웅진-사비,웅진-사비-위례성,3
삼국시대,18,정사암,제가,노고암,촛대바위,1
삼국시대,19,o,x,,,2
삼국시대,20,국학,9서당 5경,남당,6조,3
삼국시대,21,고국천왕,고이왕,소수림왕,성왕,1
삼국시대,22,"신라 초기에는 박. 석, 김 3성이 교대로 왕 위에 올랐다.",내물왕 때에 김씨의 왕위 세습을 확립하였다.,진흥왕 때에 화랑도를 국가적인 조직으로 개편하였다.,진흥왕 때에 건원이라는 자주적인 연호를 사용하였다.,4
삼국시대,23,왕-차차웅-거서간-마립간-이사금,이사금-차차웅-거서간-마립간-왕,거서간-차차웅-이사금-마립간-왕,마립간-거서간-차차웅-이사금-왕,3
삼국시대,24,ㄱ-ㄴ-ㄷ,ㄴ-ㄱ-ㄷ,ㄷ-ㄱ-ㄴ,ㄱ-ㄷ-ㄴ,2
삼국시대,25,o,x,,,2
삼국시대,26,골품에 따라 개인의 생활을 엄격히 규제하였다.,골품에 따라 관등 승진의 범위가 정해져 있었다.,자손에게는 세습되지 않았다.,성골과 진골에서 왕을 선출하였다.,3
삼국시대,27,을지문덕,유리왕,지증왕,계백,1
삼국시대,28,고구려는 압록강과 훈장 강 유역에서 건국되었다.,고구려는 국내성으로 수도를 천도하였다.,백제는 고구려 계통 이주민과 한강 유역의 토착 세력이 결합되며 성립되었다.,신라는 변한 12국 중 사로국에서 시작되었다.,4
삼국시대,29,고구려가 신라와 우호관계를 맺었다.,을지문덕의 작전으로 살수에서 수의 대군을 크게 물리쳤다.,요동에 천리장성을 쌓았다.,매소성과 기벌포에서 승리를 거두었다.,2
삼국시대,30,연개소문,을지문덕,김흠돌,대조영,1
삼국시대,31,o,x,,,1
삼국시대,32,백강구 전투가 벌어졌다.,안시성 전투가 벌어졌다.,"나, 당 연합이 결성되었다.",대야성이 점령되었다.,2
삼국시대,33,당나라와 연합하여 백제와 고구려를 멸망시켰다.,고구려는 연개소문이 사망한 후 지배층 내부에서 권력 다툼이 일어났다.,고구려는 계백이 이끄는 군대가 황산벌에서 끝까지 저항하였다.,"나, 당 연합군은 먼저 백제를 공격하였다.",3
삼국시대,34,왕족 복신과 승려 도침은 주류성을 근거지로 군사를 모았다.,계백이 황산벌에서 전투를 벌였다.,백강 전투에서 승리하며 백제의 부흥 운동이 성공적으로 이루어졌다.,매소성 전투에서 크게 승리하였다.,1
삼국시대,35,1번,2번,3번,4번,4
삼국시대,36,1번,2번,3번,4번,2
삼국시대,37,ㄹ - ㄴ - ㄷ - ㄱ,ㄷ - ㄱ - ㄴ - ㄹ,ㄴ - ㄱ - ㄷ - ㄹ,ㄱ - ㄴ - ㄹ - ㄷ,3
삼국시대,38,1번,2번,3번,4번,1
삼국시대,39,경덕왕,무열왕,문무왕,신문왕,4
삼국시대,40,o,x,,,2
삼국시대,41,"9주, 5소경","5소경, 9주","10정, 9서당","9서당, 10정",1
삼국시대,42,1번,2번,3번,4번,2
삼국시대,43,o,x,,,2
삼국시대,44,1번,2번,3번,4번,3
삼국시대,45,"후백제-견훤, 후고구려-궁예","후백제-궁예, 후고구려-견훤","후백제-대조영, 후고구려-왕건","후백제-왕건, 후고구려-궁예",1
삼국시대,46,고구려 출신의 대조영이 건국하였다.,해동성국이라 불리었다.,무왕의 뒤를 이은 문왕 시기에 전성기를 맞이하였다.,발해가 건국되던 시기 남쪽에는 통일 신라가 존재했다.,3
삼국시대,47,무왕은 북만주 일대를 장악하며 영토를 확장하였다.,문왕은 당과 친선 관계를 맺고 당의 문물과 제도를 받아들였다.,선왕 시기에 전성기를 맞이하여 최대의 영토를 차지하였다.,선왕은 장문휴를 보내 당의 산둥 지방을 먼저 공격하였다.,4
삼국시대,48,o,x,,,2
삼국시대,49,1번,2번,3번,4번,1
삼국시대,50,남당,2성 6부,9주 5소경,3성 6부,4
삼국시대,51,1번,2번,3번,4번,2
삼국시대,52,1번,2번,3번,4번,3
삼국시대,53,화랑도,삼별초,9서당 10정,잡색군,1
삼국시대,54,o,x,,,1
삼국시대,55,1번,2번,3번,4번,3
삼국시대,56,경국대전,팔만대장경,직지심체요절,무구정광대나라니경,4
삼국시대,57,1번,2번,3번,4번,2
삼국시대,58,1번,2번,3번,4번,2
삼국시대,59,1번,2번,3번,4번,1
삼국시대,60,1번,2번,3번,4번,3
삼국시대,61,1번,2번,3번,4번,2
삼국시대,62,1번,2번,3번,4번,3
삼국시대,63,풍수지리설,아미타 신앙,돈오점수,호포론,1
삼국시대,64,o,x,,,2
삼국시대,65,o,x,,,1
고려,1,o,x,,,1
고려,2,o,x,,,2
고려,3,o,x,,,1
고려,4,o,x,,,1
고려,5,o,x,,,1
고려,6,o,x,,,1
고려,7,o,x,,,2
고려,8,o,x,,,2
고려,9,o,x,,,1
고려,10,o,x,,,2
고려,11,o,x,,,2
고려,12,o,x,,,1
고려,13,o,x,,,1
고려,14,o,x,,,1
고려,15,o,x,,,2
고려,16,o,x,,,1
고려,17,o,x,,,1
고려,18,o,x,,,2
고려,19,o,x,,,1
고려,20,o,x,,,2
고려,21,1번,2번,3번,4번,2
고려,22,1번,2번,3번,4번,4
고려,23,1번,2번,3번,4번,1
고려,24,1번,2번,3번,4번,2
고려,25,1번,2번,3번,4번,3
고려,26,1번,2번,3번,4번,1
고려,27,1번,2번,3번,4번,4
고려,28,1번,2번,3번,4번,4
고려,29,1번,2번,3번,4번,2
고려,30,1번,2번,3번,4번,1
고려,31,1번,2번,3번,4번,3
고려,32,1번,2번,3번,4번,4
고려,33,1번,2번,3번,4번,3
고려,34,1번,2번,3번,4번,1
고려,35,1번,2번,3번,4번,1
고려,36,1번,2번,3번,4번,2
고려,37,1번,2번,3번,4번,3
고려,38,1번,2번,3번,4번,4
고려,39,1번,2번,3번,4번,4
고려,40,1번,2번,3번,4번,3
고려,41,1번,2번,3번,4번,2
고려,42,1번,2번,3번,4번,1
고려,43,1번,2번,3번,4번,3
고려,44,1번,2번,3번,4번,3
고려,45,1번,2번,3번,4번,1
고려,46,1번,2번,3번,4번,2
고려,47,1번,2번,3번,4번,2
고려,48,1번,2번,3번,4번,3
고려,49,1번,2번,3번,4번,4
고려,50,1번,2번,3번,4번,1
고려,51,1번,2번,3번,4번,1
고려,52,1번,2번,3번,4번,2
고려,53,1번,2번,3번,4번,4
고려,54,1번,2번,3번,4번,4
고려,55,1번,2번,3번,4번,1
고려,56,1번,2번,3번,4번,4
고려,57,1번,2번,3번,4번,2
고려,58,1번,2번,3번,4번,4
고려,59,1번,2번,3번,4번,2
고려,60,1번,2번,3번,4번,1
고려,61,1번,2번,3번,4번,2
고려,62,1번,2번,3번,4번,3
고려,63,1번,2번,3번,4번,4
고려,64,1번,2번,3번,4번,3
고려,65,1번,2번,3번,4번,2
고려,66,1번,2번,3번,4번,1
고려,67,1번,2번,3번,4번,4
고려,68,1번,2번,3번,4번,4
고려,69,1번,2번,3번,4번,3
고려,70,1번,2번,3번,4번,2
고려,71,1번,2번,3번,4번,3
고려,72,1번,2번,3번,4번,1
고려,73,1번,2번,3번,4번,3
고려,74,1번,2번,3번,4번,4
고려,75,1번,2번,3번,4번,3
고려,76,1번,2번,3번,4번,3
고려,77,(가)-(나)-(다)-(라),(가)-(다)-(라)-(나),(나)-(다)-(가)-(라),(다)-(나)-(가)-(라),3
고려,78,1번,2번,3번,4번,4
고려,79,1번,2번,3번,4번,1
고려,80,(가)-(나)-(다)-(라),(가)-(다)-(나)-(라),(나)-(다)-(가)-(라),(나)-(가)-(라)-(다),2
조선시대,1,1번,2번,3번,4번,3
조선시대,2,o,x,,,2
조선시대,3,1번,2번,3번,4번,4
조선시대,4,1번,2번,3번,4번,2
조선시대,5,1번,2번,3번,4번,1
조선시대,6,1번,2번,3번,4번,3
조선시대,7,1번,2번,3번,4번,1
조선시대,8,1번,2번,3번,4번,3
조선시대,9,1번,2번,3번,4번,2
조선시대,10,o,x,,,1
조선시대,11,1번,2번,3번,4번,3
조선시대,12,1번,2번,3번,4번,4
조선시대,13,1번,2번,3번,4번,2
조선시대,14,1번,2번,3번,4번,1
조선시대,15,o,x,,,2
조선시대,16,1번,2번,3번,4번,2
조선시대,17,1번,2번,3번,4번,1
조선시대,18,o,x,,,1
조선시대,19,a - c - d - b,d - a - b - c,b - a - c - d,b - c - a - d,3
조선시대,20,a - b - d - c,b - c - d - a,d - a - c - b,a - d - b - c,4
조선시대,21,1번,2번,3번,4번,1
조선시대,22,1번,2번,3번,4번,2
조선시대,23,1번,2번,3번,4번,4
조선시대,24,1번,2번,3번,4번,3
조선시대,25,o,x,,,2
조선시대,26,1번,2번,3번,4번,1
조선시대,27,1번,2번,3번,4번,2
조선시대,28,1번,2번,3번,4번,4
조선시대,29,o,x,,,1
조선시대,30,1번,2번,3번,4번,3
조선시대,31,1번,2번,3번,4번,4
조선시대,32,1번,2번,3번,4번,1
조선시대,33,1번,2번,3번,4번,2
조선시대,34,1번,2번,3번,4번,1
조선시대,35,o,x,,,1
조선시대,36,o,x,,,2
조선시대,37,1번,2번,3번,4번,3
조선시대,38,1번,2번,3번,4번,4
조선시대,39,1번,2번,3번,4번,1
조선시대,40,1번,2번,3번,4번,2
조선시대,41,1번,2번,3번,4번,3
조선시대,42,1번,2번,3번,4번,4
조선시대,43,1번,2번,3번,4번,1
조선시대,44,1번,2번,3번,4번,3
조선시대,45,o,x,,,1
조선시대,46,1번,2번,3번,4번,2
조선시대,47,1번,2번,3번,4번,4
조선시대,48,1번,2번,3번,4번,1
조선시대,49,o,x,,,2
조선시대,50,1번,2번,3번,4번,2
조선시대,51,1번,2번,3번,4번,2
조선시대,52,1번,2번,3번,4번,1
조선시대,53,1번,2번,3번,4번,3
조선시대,54,1번,2번,3번,4번,4
조선시대,55,o,x,,,1
조선시대,56,1번,2번,3번,4번,2
조선시대,57,1번,2번,3번,4번,1
조선시대,58,1번,2번,3번,4번,3
조선시대,59,1번,2번,3번,4번,2
조선시대,60,o,x,,,1
조선시대,61,1번,2번,3번,4번,4
조선시대,62,1번,2번,3번,4번,1
조선시대,63,1번,2번,3번,4번,3
조선시대,64,o,x,,,2
조선시대,65,1번,2번,3번,4번,2
조선시대,66,1번,2번,3번,4번,2
조선시대,67,1번,2번,3번,4번,4
조선시대,68,1번,2번,3번,4번,4
조선시대,69,1번,2번,3번,4번,1
조선시대,70,o,x,,,2
조선시대,71,1번,2번,3번,4번,3
조선시대,72,1번,2번,3번,4번,1
조선시대,73,1번,2번,3번,4번,2
조선시대,74,1번,2번,3번,4번,1
조선시대,75,o,x,,,2
조선시대,76,1번,2번,3번,4번,3
조선시대,77,1번,2번,3번,4번,4
조선시대,78,1번,2번,3번,4번,2
조선시대,79,o,x,,,1
조선시대,80,1번,2번,3번,4번,1
조선시대,81,1번,2번,3번,4번,3
조선시대,82,1번,2번,3번,4번,2
조선시대,83,1번,2번,3번,4번,4
조선시대,84,1번,2번,3번,4번,1
조선시대,85,o,x,,,1
조선시대,86,1번,2번,3번,4번,3
조선시대,87,1번,2번,3번,4번,4
조선시대,88,1번,2번,3번,4번,1
조선시대,89,1번,2번,3번,4번,3
조선시대,90,o,x,,,2
조선시대,91,1번,2번,3번,4번,4
조선시대,92,1번,2번,3번,4번,2
조선시대,93,1번,2번,3번,4번,3
조선시대,94,o,x,,,1
조선시대,95,1번,2번,3번,4번,1
조선시대,96,1번,2번,3번,4번,3
조선시대,97,가 - 다 - 라 - 나,다 - 라 - 가 - 나,다 - 가 - 나 - 라,나 - 라 - 가 - 다,2
조선시대,98,1번,2번,3번,4번,4
조선시대,99,1번,2번,3번,4번,1
조선시대,100,o,x,,,1
조선시대,101,1번,2번,3번,4번,3
조선시대,102,1번,2번,3번,4번,4
조선시대,103,1번,2번,3번,4번,1
조선시대,104,o,x,,,2
조선시대,105,o,x,,,1
조선시대,106,o,x,,,2
조선시대,107,1번,2번,3번,4번,2
조선시대,108,1번,2번,3번,4번,3
조선시대,109,1번,2번,3번,4번,1
조선시대,110,1번,2번,3번,4번,2
근대이후,1,o,x,,,1
근대이후,2,o,x,,,1
근대이후,3,o,x,,,2
근대이후,4,o,x,,,2
근대이후,5,o,x,,,1
근대이후,6,o,x,,,2
근대이후,7,o,x,,,1
근대이후,8,o,x,,,1
근대이후,9,o,x,,,1
근대이후,10,o,x,,,1
근대이후,11,o,x,,,2
근대이후,12,o,x,,,2
근대이후,13,o,x,,,1
근대이후,14,o,x,,,1
근대이후,15,o,x,,,2
근대이후,16,o,x,,,1
근대이후,17,o,x,,,2
근대이후,18,o,x,,,2
근대이후,19,o,x,,,1
근대이후,20,o,x,,,1
근대이후,21,o,x,,,1
근대이후,22,o,x,,,2
근대이후,23,o,x,,,2
근대이후,24,o,x,,,1
근대이후,25,o,x,,,1
근대이후,26,o,x,,,2
근대이후,27,o,x,,,1
근대이후,28,o,x,,,1
근대이후,29,o,x,,,2
근대이후,30,o,x,,,1
근대이후,31,o,x,,,2
근대이후,32,o,x,,,1
근대이후,33,o,x,,,2
근대이후,34,o,x,,,1
근대이후,35,o,x,,,1
근대이후,36,o,x,,,1
근대이후,37,o,x,,,1
근대이후,38,o,x,,,2
근대이후,39,o,x,,,1
근대이후,40,o,x,,,1
근대이후,41,1번,2번,3번,4번,4
근대이후,42,1번,2번,3번,4번,2
근대이후,43,1번,2번,3번,4번,3
근대이후,44,1번,2번,3번,4번,3
근대이후,45,1번,2번,3번,4번,1
근대이후,46,1번,2번,3번,4번,2
근대이후,47,1번,2번,3번,4번,1
근대이후,48,1번,2번,3번,4번,1
근대이후,49,1번,2번,3번,4번,4
근대이후,50,1번,2번,3번,4번,3
근대이후,51,1번,2번,3번,4번,1
근대이후,52,1번,2번,3번,4번,1
근대이후,53,1번,2번,3번,4번,2
근대이후,54,1번,2번,3번,4번,3
근대이후,55,1번,2번,3번,4번,1
근대이후,56,1번,2번,3번,4번,2
근대이후,57,1번,2번,3번,4번,1
근대이후,58,1번,2번,3번,4번,4
근대이후,59,1번,2번,3번,4번,4
근대이후,60,1번,2번,3번,4번,3
근대이후,61,1번,2번,3번,4번,3
근대이후,62,1번,2번,3번,4번,1
근대이후,63,1번,2번,3번,4번,2
근대이후,64,1번,2번,3번,4번,4
근대이후,65,1번,2번,3번,4번,3
근대이후,66,1번,2번,3번,4번,2
근대이후,67,1번,2번,3번,4번,1
근대이후,68,1번,2번,3번,4번,2
근대이후,69,1번,2번,3번,4번,3
근대이후,70,1번,2번,3번,4번,4
근대이후,71,1번,2번,3번,4번,2
근대이후,72,1번,2번,3번,4번,4
근대이후,73,1번,2번,3번,4번,3
근대이후,74,1번,2번,3번,4번,1
근대이후,75,1번,2번,3번,4번,2
근대이후,76,1번,2번,3번,4번,1
근대이후,77,1번,2번,3번,4번,1
근대이후,78,1번,2번,3번,4번,3
근대이후,79,1번,2번,3번,4번,2
근대이후,80,1번,2번,3번,4번,2
근대이후,81,1번,2번,3번,4번,3
근대이후,82,1번,2번,3번,4번,1
근대이후,83,1번,2번,3번,4번,4
근대이후,84,1번,2번,3번,4번,4
근대이후,85,1번,2번,3번,4번,4
근대이후,86,1번,2번,3번,4번,2
근대이후,87,1번,2번,3번,4번,1
근대이후,88,1번,2번,3번,4번,3
근대이후,89,1번,2번,3번,4번,3
근대이후,90,1번,2번,3번,4번,1
근대이후,91,1번,2번,3번,4번,1
근대이후,92,1번,2번,3번,4번,3
근대이후,93,1번,2번,3번,4번,2
근대이후,94,1번,2번,3번,4번,4
근대이후,95,1번,2번,3번,4번,3
근대이후,96,1번,2번,3번,4번,1
근대이후,97,1번,2번,3번,4번,2
근대이후,98,1번,2번,3번,4번,3
근대이후,99,1번,2번,3번,4번,4
근대이후,100,1번,2번,3번,4번,4
근대이후,101,1번,2번,3번,4번,1
근대이후,102,1번,2번,3번,4번,1
근대이후,103,1번,2번,3번,4번,3
근대이후,104,1번,2번,3번,4번,2
근대이후,105,1번,2번,3번,4번,1
근대이후,106,1번,2번,3번,4번,1
근대이후,107,1번,2번,3번,4번,3
근대이후,108,1번,2번,3번,4번,3
근대이후,109,1번,2번,3번,4번,2
근대이후,110,1번,2번,3번,4번,4
근대이후,111,(가) - (다) - (나) - (라),(나) - (다) - (라) - (가),(다) - (가) - (라) - (나),(라) - (가) - (다) - (나),4
근대이후,112,1번,2번,3번,4번,3
근대이후,113,1번,2번,3번,4번,1
근대이후,114,1번,2번,3번,4번,3
근대이후,115,(가) - (나) - (다) - (라),(나) - (가) - (다) - (라),(다) - (가) - (라) - (나),(라) - (나) - (가) - (다),2
근대이후,116,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),1
근대이후,117,1번,2번,3번,4번,3
근대이후,118,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),3
근대이후,119,1번,2번,3번,4번,1
근대이후,120,(가) - (나) - (라) - (다),(가) - (라) - (나) - (다),(나) - (가) - (다) - (라),(나) - (다) - (가) - (라),4
